first_day_of_month,cfips,microbusiness_density
0.0,1001,3.0076818
31.0,1001,2.8848701
61.0,1001,3.0558431
92.0,1001,2.9932332
122.0,1001,2.9932332
153.0,1001,2.96909
184.0,1001,2.9093256
213.0,1001,2.9332314
244.0,1001,3.0001674
274.0,1001,3.0049484
305.0,1001,3.0192919
335.0,1001,3.0838373
366.0,1001,3.174679
397.0,1001,3.2057564
427.0,1001,3.1938035
458.0,1001,3.0384164
488.0,1001,3.002558
519.0,1001,2.9472437
550.0,1001,3.1061056
578.0,1001,3.1440427
609.0,1001,3.2246592
639.0,1001,3.2270303
670.0,1001,3.2222881
700.0,1001,3.2104328
731.0,1001,3.2199171
762.0,1001,3.186722
792.0,1001,3.2033195
823.0,1001,3.2009485
853.0,1001,3.2863071
884.0,1001,3.2967808
915.0,1001,3.3344314
943.0,1001,3.3367846
974.0,1001,3.372082
1004.0,1001,3.3132529
1035.0,1001,3.3461974
1065.0,1001,3.4379706
1096.0,1001,3.4238517
1127.0,1001,3.442677
1157.0,1001,3.4638555
0.0,1003,7.2391562
31.0,1003,7.2909365
61.0,1003,7.4254394
92.0,1003,7.4260707
122.0,1003,7.4702735
153.0,1003,7.4136553
184.0,1003,7.2825217
213.0,1003,7.3096104
244.0,1003,7.568799
274.0,1003,7.6032753
305.0,1003,7.7085514
335.0,1003,7.7830448
366.0,1003,7.853229
397.0,1003,8.4122391
427.0,1003,8.3291264
458.0,1003,8.2632523
488.0,1003,8.2244663
519.0,1003,8.0110445
550.0,1003,7.9090009
578.0,1003,7.9780307
609.0,1003,8.0326538
639.0,1003,8.0614662
670.0,1003,8.0770731
700.0,1003,7.9840331
731.0,1003,7.9186049
762.0,1003,7.802155
792.0,1003,7.8321676
823.0,1003,7.9005971
853.0,1003,7.9300098
884.0,1003,7.733397
915.0,1003,7.8232999
943.0,1003,7.9453111
974.0,1003,7.9791703
1004.0,1003,7.9073648
1035.0,1003,8.5074959
1065.0,1003,8.5734634
1096.0,1003,8.4911499
1127.0,1003,8.3417006
1157.0,1003,8.3597984
0.0,1005,1.0731378
31.0,1005,0.99579448
61.0,1005,1.1601489
92.0,1005,1.0006285
122.0,1005,1.0006285
153.0,1005,1.027229
184.0,1005,1.022314
213.0,1005,1.032144
244.0,1005,1.0862086
274.0,1005,1.0812936
305.0,1005,0.99773914
335.0,1005,0.9879092
366.0,1005,0.9829942
397.0,1005,1.022314
427.0,1005,1.0370588
458.0,1005,1.032144
488.0,1005,1.032144
519.0,1005,1.1119976
550.0,1005,1.0721053
578.0,1005,1.0571457
609.0,1005,1.1020246
639.0,1005,1.097038
670.0,1005,1.1070111
700.0,1005,1.1469034
731.0,1005,1.1568764
762.0,1005,1.1219707
792.0,1005,1.1369303
823.0,1005,1.1518899
853.0,1005,1.1518899
884.0,1005,1.1866289
915.0,1005,1.2068269
943.0,1005,1.196728
974.0,1005,1.1916784
1004.0,1005,1.1866289
1035.0,1005,1.1916784
1065.0,1005,1.2169259
1096.0,1005,1.196728
1127.0,1005,1.2068269
1157.0,1005,1.2320744
0.0,1007,1.3107775
31.0,1007,1.3051759
61.0,1007,1.2547613
92.0,1007,1.2547613
122.0,1007,1.2659646
153.0,1007,1.2536378
184.0,1007,1.2480412
213.0,1007,1.2648309
244.0,1007,1.2704276
274.0,1007,1.2872174
305.0,1007,1.3040072
335.0,1007,1.3431834
366.0,1007,1.3040072
397.0,1007,1.320797
427.0,1007,1.3263936
458.0,1007,1.320797
488.0,1007,1.3096038
519.0,1007,1.3100437
550.0,1007,1.2876498
578.0,1007,1.2876498
609.0,1007,1.2596574
639.0,1007,1.2596574
670.0,1007,1.2372634
700.0,1007,1.2372634
731.0,1007,1.2092711
762.0,1007,1.1868771
792.0,1007,1.1868771
823.0,1007,1.231665
853.0,1007,1.2092711
884.0,1007,1.2141652
915.0,1007,1.2366498
943.0,1007,1.2647555
974.0,1007,1.2535132
1004.0,1007,1.247892
1035.0,1007,1.2759978
1065.0,1007,1.3265879
1096.0,1007,1.2928611
1127.0,1007,1.3153456
1157.0,1007,1.28724
0.0,1009,1.5441476
31.0,1009,1.5758922
61.0,1009,1.5464151
92.0,1009,1.5736247
122.0,1009,1.555485
153.0,1009,1.5732168
184.0,1009,1.5369989
213.0,1009,1.5415261
244.0,1009,1.5777441
274.0,1009,1.5754805
305.0,1009,1.5709532
335.0,1009,1.602644
366.0,1009,1.6049075
397.0,1009,1.6479163
427.0,1009,1.6411254
458.0,1009,1.6411254
488.0,1009,1.6139621
519.0,1009,1.6120293
550.0,1009,1.6887926
578.0,1009,1.7000812
609.0,1009,1.7023391
639.0,1009,1.7204009
670.0,1009,1.7136277
700.0,1009,1.7158855
731.0,1009,1.71137
762.0,1009,1.729432
792.0,1009,1.7316897
823.0,1009,1.7339474
853.0,1009,1.7520094
884.0,1009,1.7529234
915.0,1009,1.7777077
943.0,1009,1.7979857
974.0,1009,1.764189
1004.0,1009,1.7484171
1035.0,1009,1.7732015
1065.0,1009,1.8317825
1096.0,1009,1.8362887
1127.0,1009,1.8520604
1157.0,1009,1.8317825
0.0,1011,0.92637151
31.0,1011,0.99855632
61.0,1011,0.9744947
92.0,1011,1.0226179
122.0,1011,1.0346487
153.0,1011,1.0607169
184.0,1011,1.0363326
213.0,1011,1.0607169
244.0,1011,1.0119483
274.0,1011,0.89002681
305.0,1011,0.92660326
335.0,1011,0.91441113
366.0,1011,0.95098758
397.0,1011,0.92660326
427.0,1011,0.93879539
458.0,1011,0.87783468
488.0,1011,0.87783468
519.0,1011,0.86206895
550.0,1011,0.80049258
578.0,1011,0.82512313
609.0,1011,0.86206895
639.0,1011,0.87438422
670.0,1011,0.87438422
700.0,1011,0.8374384
731.0,1011,0.82512313
762.0,1011,0.80049258
792.0,1011,0.7758621
823.0,1011,0.80049258
853.0,1011,0.8374384
884.0,1011,0.84874588
915.0,1011,0.87408155
943.0,1011,0.92475295
974.0,1011,0.91208512
1004.0,1011,0.91208512
1035.0,1011,0.93742085
1065.0,1011,0.95008868
1096.0,1011,0.96275651
1127.0,1011,0.97542435
1157.0,1011,0.98809224
0.0,1013,0.6749807
31.0,1013,0.73926461
61.0,1013,0.71355104
92.0,1013,1.0542556
122.0,1013,1.0542556
